,Unnamed: 0,melid,bar,beat,target,prediction_no_melody,prediction_with_melody,notes
78,78,1,0,0,C-7,D-7,C-7,0
79,79,1,0,0,F7,F7,F7,0
80,80,1,0,0,Bb6,Bb6,Bb6,0
81,81,1,0,0,D7,G7,G7,0
82,82,1,0,0,G7,G7,G7,0
83,83,1,0,0,C7,C7,C7,0
84,84,1,0,0,F7,F7,F7,0
85,85,1,0,0,Bb,Bb6,Bb6,0
86,86,1,0,0,G7,G7,G7,0
87,87,1,0,0,C-7,C-7,C-7,0
88,88,1,0,0,F7,F7,F7,0
89,89,1,0,0,Bb,Bb6,Bb6,0
90,90,1,0,0,G-7,G7,G7,0
91,91,1,0,0,C-7,C-7,C-7,0
92,92,1,0,0,F7,F7,F7,0
93,93,1,0,0,F-7,F-7,Bb6,0
94,94,1,0,0,Bb7,Bb7,Bb7,0
95,95,1,0,0,Eb7,Eb7,Eb7,0
96,96,1,0,0,Ab7,Ab7,Ab7,0
97,97,1,0,0,C-7,D-7,C-7,0
98,98,1,0,0,F7,F7,F7,0
99,99,1,0,0,Bb6,Bb6,Bb6,0
100,100,1,0,0,Bb6,G7,G7,0
101,101,1,0,0,G7,G7,G7,0
102,102,1,0,0,C-7,C-7,C-7,0
103,103,1,0,0,F7,F7,F7,0
104,104,1,0,0,Bb,Bb6,Bb6,0
105,105,1,0,0,G-7,G7,G7,0
106,106,1,0,0,C-7,C-7,C-7,0
107,107,1,0,0,F7,F7,F7,0
108,108,1,0,0,F-7,F-7,Bb6,0
109,109,1,0,0,Bb7,Bb7,Bb7,0
110,110,1,0,0,Eb7,Eb7,Eb7,0
111,111,1,0,0,Ab7,Ab7,Ab7,0
112,112,1,0,0,D-7,D-7,C-7,0
113,113,1,0,0,G7,G7,G7,0
114,114,1,0,0,C-7,C-7,C-7,0
115,115,1,0,0,F7,F7,F7,0
116,116,1,0,0,Bb6,Bb6,Bb6,0
117,117,1,0,0,G7,G7,G7,0
118,118,1,0,0,C-7,C-7,C-7,0
119,119,1,0,0,F7,F7,F7,0
120,120,1,0,0,Bb,Bb6,Bb6,0
121,121,1,0,0,G-7,G7,G7,0
122,122,1,0,0,C-7,C-7,C-7,0
123,123,1,0,0,F7,F7,F7,0
124,124,1,0,0,F-7,F-7,Bb6,0
125,125,1,0,0,Bb7,Bb7,Bb7,0
126,126,1,0,0,Eb7,Eb7,Eb7,0
127,127,1,0,0,Ab7,Ab7,Ab7,0
128,128,1,0,0,C-7,D-7,D-7,0
129,129,1,0,0,F7,F7,F7,0
130,130,1,0,0,Bb6,Bb6,Bb6,0
131,131,1,0,0,D7,G7,G7,0
132,132,1,0,0,G7,G7,G7,0
133,133,1,0,0,C7,C7,C7,0
134,134,1,0,0,F7,F7,F7,0
135,135,1,0,0,Bb,Bb6,Bb6,0
136,136,1,0,0,G7,G7,G7,0
137,137,1,0,0,C-7,C-7,C-7,0
138,138,1,0,0,F7,F7,F7,0
139,139,1,0,0,Bb,Bb6,Bb6,0
140,140,1,0,0,G-7,G7,G7,0
141,141,1,0,0,C-7,C-7,C-7,0
142,142,1,0,0,F7,F7,F7,0
143,143,1,0,0,F-7,F-7,Bb6,0
144,144,1,0,0,Bb7,Bb7,Bb7,0
145,145,1,0,0,Eb7,Eb7,Eb7,0
146,146,1,0,0,Ab7,Ab7,Ab7,0
147,147,1,0,0,C-7,D-7,D-7,0
148,148,1,0,0,F7,F7,F7,0
149,149,1,0,0,Bb6,Bb6,Bb6,0
150,150,1,0,0,Bb6,G7,G7,0
151,151,1,0,0,G7,G7,D-7,0
152,152,1,0,0,C-7,C-7,C-7,0
153,153,1,0,0,F7,F7,F7,0
154,154,1,0,0,Bb,Bb6,Bb6,0
155,155,1,0,0,G-7,G7,G7,0
156,156,1,0,0,C-7,C-7,C-7,0
157,157,1,0,0,F7,F7,F7,0
158,158,1,0,0,F-7,F-7,F-7,0
159,159,1,0,0,Bb7,Bb7,Bb7,0
160,160,1,0,0,Eb7,Eb7,Eb7,0
161,161,1,0,0,Ab7,Ab7,Ab7,0
162,162,1,0,0,D-7,D-7,C-7,0
163,163,1,0,0,G7,G7,G7,0
164,164,1,0,0,C-7,C-7,C-7,0
165,165,1,0,0,F7,F7,F7,0
166,166,1,0,0,Bb6,Bb6,Bb6,0
167,167,1,0,0,G7,G7,G7,0
168,168,1,0,0,C-7,C-7,C-7,0
169,169,1,0,0,F7,F7,F7,0
170,170,1,0,0,Bb,Bb6,Bb6,0
171,171,1,0,0,G-7,G7,G7,0
172,172,1,0,0,C-7,C-7,C-7,0
173,173,1,0,0,F7,F7,F7,0
174,174,1,0,0,F-7,F-7,Bb6,0
175,175,1,0,0,Bb7,Bb7,Bb7,0
176,176,1,0,0,Eb7,Eb7,Eb7,0
177,177,1,0,0,Ab7,Ab7,Ab7,0
178,178,1,0,0,C-7,D-7,C-7,0
179,179,1,0,0,F7,F7,F7,0
180,180,1,0,0,Bb6,Bb6,Bb6,0
181,181,1,0,0,D7,G7,G7,0
182,182,1,0,0,G7,G7,G7,0
183,183,1,0,0,C7,C7,C7,0
184,184,1,0,0,F7,F7,F7,0
185,185,1,0,0,Bb,Bb6,Bb6,0
186,186,1,0,0,G7,G7,G7,0
187,187,1,0,0,C-7,C-7,C-7,0
188,188,1,0,0,F7,F7,F7,0
189,189,1,0,0,Bb,Bb6,Bb6,0
190,190,1,0,0,G-7,G7,G7,0
191,191,1,0,0,C-7,C-7,C-7,0
192,192,1,0,0,F7,F7,F7,0
193,193,1,0,0,F-7,F-7,Bb6,0
194,194,1,0,0,Bb7,Bb7,Bb7,0
195,195,1,0,0,Eb7,Eb7,Eb7,0
196,196,1,0,0,Ab7,Ab7,Ab7,0
197,197,1,0,0,C-7,D-7,C-7,0
198,198,1,0,0,F7,F7,F7,0
199,199,1,0,0,Bb6,Bb6,Bb6,0
200,200,1,0,0,Bb6,G7,D-7,0
201,201,2,0,0,Ab7,Bb7,Ab7,0
202,202,2,0,0,Eb7,Eb7,Eb7,0
203,203,2,0,0,Ab7,Ab7,Ab7,0
204,204,2,0,0,Eb7,Eb7,Eb7,0
205,205,2,0,0,F-7,Ab7,C7,0
206,206,2,0,0,Bb7,Bb7,Bb7,0
207,207,2,0,0,Eb7,Eb7,Eb7,0
208,208,2,0,0,Bb7,Bb7,Ab7,0
209,209,2,0,0,Eb7,Eb7,Eb7,0
210,210,2,0,0,Ab7,Bb7,Ab7,0
211,211,2,0,0,Eb7,Eb7,Eb7,0
212,212,2,0,0,Ab7,Ab7,C7,0
213,213,2,0,0,Eb7,Eb7,Eb7,0
214,214,2,0,0,C7,Ab7,C7,0
215,215,2,0,0,F-7,F-7,F-7,0
216,216,2,0,0,Bb7,Bb7,Bb7,0
217,217,2,0,0,Eb7,Eb7,Eb7,0
218,218,2,0,0,Bb7,Eb7,Eb7,0
219,219,2,0,0,Eb7,Eb7,Eb7,0
220,220,2,0,0,Ab7,Bb7,Ab7,0
221,221,2,0,0,Eb7,Eb7,Eb7,0
222,222,2,0,0,Ab7,Ab7,Ab7,0
223,223,2,0,0,Eb7,Eb7,Eb7,0
224,224,2,0,0,C7,Ab7,C7,0
225,225,2,0,0,F-7,F-7,F-7,0
226,226,2,0,0,Bb7,Bb7,Bb7,0
227,227,2,0,0,Eb7,Eb7,Eb7,0
228,228,2,0,0,Bb7,Eb7,Eb7,0
229,229,2,0,0,Eb7,Eb7,Eb7,0
230,230,2,0,0,Ab7,Bb7,Ab7,0
231,231,2,0,0,Eb7,Eb7,Eb7,0
232,232,2,0,0,Ab7,Ab7,Ab7,0
233,233,2,0,0,Eb7,Eb7,Eb7,0
234,234,2,0,0,C7,Ab7,C7,0
235,235,2,0,0,F-7,F-7,F-7,0
236,236,2,0,0,Bb7,Bb7,Bb7,0
237,237,2,0,0,Eb7,Eb7,Eb7,0
238,238,2,0,0,Bb7,Eb7,Ab7,0
239,239,2,0,0,Eb7,Eb7,Eb7,0
240,240,2,0,0,Ab7,Bb7,Eb7,0
241,241,2,0,0,Eb7,Eb7,Eb7,0
242,242,2,0,0,Ab7,Ab7,Ab7,0
243,243,2,0,0,Eb7,Eb7,Eb7,0
244,244,2,0,0,C7,Ab7,C7,0
245,245,2,0,0,F-7,F-7,F-7,0
246,246,2,0,0,Bb7,Bb7,Bb7,0
247,247,2,0,0,Eb7,Eb7,Eb7,0
248,248,2,0,0,Bb7,Eb7,Ab7,0
249,249,2,0,0,Eb7,Eb7,Eb7,0
250,250,2,0,0,Ab7,Bb7,Eb7,0
251,251,2,0,0,Eb7,Eb7,Eb7,0
252,252,2,0,0,Ab7,Ab7,Ab7,0
253,253,2,0,0,Eb7,Eb7,Eb7,0
254,254,2,0,0,C7,Ab7,C7,0
255,255,2,0,0,F-7,F-7,F-7,0
256,256,2,0,0,Bb7,Bb7,Bb7,0
257,257,2,0,0,Eb7,Eb7,Eb7,0
258,258,2,0,0,Bb7,Eb7,Eb7,0
259,259,2,0,0,Eb7,Eb7,Eb7,0
260,260,2,0,0,Ab7,Bb7,Eb7,0
261,261,2,0,0,Eb7,Eb7,Eb7,0
262,262,2,0,0,Ab7,Ab7,Ab7,0
263,263,2,0,0,Eb7,Eb7,Eb7,0
264,264,2,0,0,C7,Ab7,C7,0
265,265,2,0,0,F-7,F-7,F-7,0
266,266,2,0,0,Bb7,Bb7,Bb7,0
267,267,2,0,0,Eb7,Eb7,Eb7,0
268,268,2,0,0,Bb7,Eb7,Eb7,0
269,269,2,0,0,Eb7,Eb7,Eb7,0
270,270,2,0,0,Ab7,Bb7,Eb7,0
271,271,2,0,0,Eb7,Eb7,Eb7,0
272,272,2,0,0,Ab7,Ab7,C7,0
273,273,2,0,0,Eb7,Eb7,Eb7,0
274,274,2,0,0,C7,Ab7,C7,0
275,275,2,0,0,F-7,F-7,F-7,0
276,276,2,0,0,Bb7,Bb7,Bb7,0
277,277,2,0,0,Eb7,Eb7,Eb7,0
278,278,2,0,0,Bb7,Eb7,Ab7,0
279,279,2,0,0,Eb7,Eb7,Eb7,0
280,280,2,0,0,Ab7,Bb7,Eb7,0
281,281,2,0,0,Eb7,Eb7,Eb7,0
282,282,2,0,0,Ab7,Ab7,C7,0
283,283,2,0,0,Eb7,Eb7,Eb7,0
284,284,2,0,0,C7,Ab7,C7,0
285,285,2,0,0,F-7,F-7,F-7,0
286,286,2,0,0,Bb7,Bb7,Bb7,0
287,287,2,0,0,Eb7,Eb7,Eb7,0
288,288,2,0,0,Bb7,Eb7,Ab7,0
289,289,2,0,0,Eb7,Eb7,Eb7,0
290,290,2,0,0,Ab7,Bb7,Eb7,0
291,291,2,0,0,Eb7,Eb7,Eb7,0
292,292,2,0,0,Ab7,Ab7,C7,0
293,293,2,0,0,Eb7,Eb7,Eb7,0
294,294,2,0,0,C7,Ab7,C7,0
295,295,2,0,0,F-7,F-7,F-7,0
296,296,2,0,0,Bb7,Bb7,Bb7,0
297,297,2,0,0,Eb7,Eb7,Eb7,0
298,298,2,0,0,Bb7,Eb7,Eb7,0
299,299,2,0,0,Eb7,Eb7,Eb7,0
300,300,2,0,0,Ab7,Bb7,Eb7,0
301,301,2,0,0,Eb7,Eb7,Eb7,0
302,302,2,0,0,Ab7,Ab7,Ab7,0
303,303,2,0,0,Eb7,Eb7,Eb7,0
304,304,2,0,0,C7,Ab7,Eb7,0
305,305,2,0,0,F-7,F-7,F-7,0
306,306,2,0,0,Bb7,Bb7,Bb7,0
307,307,2,0,0,Eb7,Eb7,Eb7,0
308,308,2,0,0,Bb7,Eb7,Ab7,0
309,309,2,0,0,Eb7,Eb7,Eb7,0
310,310,3,0,0,Fmaj7,F7,F7,0
311,311,3,0,0,G7,Bb7,Em7b5,0
312,312,3,0,0,G-7,C7,C7,0
313,313,3,0,0,C7,C7,C7,0
314,314,3,0,0,Am7b5,Fmaj7,Fmaj7,0
315,315,3,0,0,D7,D7,D7,0
316,316,3,0,0,G-7,G-7,G-7,0
317,317,3,0,0,A7,C7,C7,0
318,318,3,0,0,D7,D7,D7,0
319,319,3,0,0,D7,G7,Bm7b5,0
320,320,3,0,0,G7,G7,G-7,0
321,321,3,0,0,Gbmaj7,C7,C7,0
322,322,3,0,0,Fmaj7,G7,Fmaj7,0
323,323,3,0,0,G7,F-7,Em7b5,0
324,324,3,0,0,G-7,Cmaj7,G-7,0
325,325,3,0,0,C7,C7,C7,0
326,326,3,0,0,Am7b5,Fmaj7,Fmaj7,0
327,327,3,0,0,D7,D7,D7,0
328,328,3,0,0,G-7,G7,G-7,0
329,329,3,0,0,Bb-,C7,C7,0
330,330,3,0,0,A-7,Eb7,G-7,0
331,331,3,0,0,Bm7b5,D7,D7,0
332,332,3,0,0,E7,E7,E7,0
333,333,3,0,0,Amaj7,A-7,E7,0
334,334,3,0,0,Bbdim7,D7,Fmaj7,0
335,335,3,0,0,B-7,A-7,G-7,0
336,336,3,0,0,E7,E7,E7,0
337,337,3,0,0,Amaj7,A-7,A-7,0
338,338,3,0,0,F#-7,D7,Fmaj7,0
339,339,3,0,0,B-7,Db7,B7,0
340,340,3,0,0,E7,E7,E7,0
341,341,3,0,0,Cmaj7,A-7,A-7,0
342,342,3,0,0,C#dim7,Fmaj7,A-7,0
343,343,3,0,0,D-7,C-7,E7,0
344,344,3,0,0,G7,G7,G7,0
345,345,3,0,0,G-7,Cmaj7,G-7,0
346,346,3,0,0,Am7b5,C7,C7,0
347,347,3,0,0,D7,D7,D7,0
348,348,3,0,0,G-7,G-7,G-7,0
349,349,3,0,0,C7,C7,C7,0
350,350,3,0,0,Fmaj7,Fmaj7,Fmaj7,0
351,351,3,0,0,G7,Em7b5,Fmaj7,0
352,352,3,0,0,G-7,G-7,G-7,0
353,353,3,0,0,C7,C7,C7,0
354,354,3,0,0,Am7b5,Fmaj7,Fmaj7,0
355,355,3,0,0,D7,D7,D7,0
356,356,3,0,0,G-7,G-7,G-7,0
357,357,3,0,0,A7,C7,C7,0
358,358,3,0,0,D7,D7,D7,0
359,359,3,0,0,D7,G-7,G-7,0
360,360,3,0,0,G7,G7,G-7,0
361,361,3,0,0,Gbmaj7,G-7,G-7,0
362,362,3,0,0,G-7,G-7,Fmaj7,0
363,363,3,0,0,Bb-,C7,C7,0
364,364,3,0,0,A-7,G-7,G-7,0
365,365,3,0,0,Bm7b5,D7,D7,0
366,366,3,0,0,E7,E7,E7,0
367,367,4,0,0,F7,Bb7,C7,0
368,368,4,0,0,Bb7,Bb7,Bbmaj7,0
369,369,4,0,0,Eb6,F7,Ebmaj7,0
370,370,4,0,0,Bb-7,Bb7,C7,0
371,371,4,0,0,Eb7,Eb7,Eb7,0
372,372,4,0,0,Abmaj7,Ab,D7,0
373,373,4,0,0,Ab6,Bb7,G7,0
374,374,4,0,0,Db7,Bb7,Db7,0
375,375,4,0,0,Eb6,Gb7,C7,0
376,376,4,0,0,C7,Bb-7,F-7,0
377,377,4,0,0,F7,F-7,F,0
378,378,4,0,0,Bb7,Bb7,Bb7,0
379,379,4,0,0,C7,Eb7,Bb-7,0
380,380,4,0,0,F7,F7,F7,0
381,381,4,0,0,Bb7,Bb7,Bbmaj7,0
382,382,4,0,0,Eb6,Eb7,Bb-7,0
383,383,4,0,0,Bb-7,Bb7,F-7,0
384,384,4,0,0,Eb7,Eb7,Eb7,0
385,385,4,0,0,Abmaj7,Ab,Abmaj7,0
386,386,4,0,0,Ab7,F7,G7,0
387,387,4,0,0,Adim7,Db7,Db7,0
388,388,4,0,0,Eb6,Eb7,Bb-7,0
389,389,4,0,0,C7,C7,F-7,0
390,390,4,0,0,F7,F-7,F7,0
391,391,4,0,0,Bb7,Bb7,Bb7,0
392,392,4,0,0,Eb6,Eb7,Bb-7,0
393,393,4,0,0,F7,Bb7,F-7,0
394,394,4,0,0,Bb7,Bb7,Bb-,0
395,395,4,0,0,Eb6,Eb7,Eb7,0
396,396,4,0,0,Bb-7,Ab,F-7,0
397,397,4,0,0,Eb7,Eb7,Eb7,0
398,398,4,0,0,Abmaj7,Ab,Abmaj7,0
399,399,4,0,0,Ab6,F7,G7,0
400,400,4,0,0,Db7,Bb7,F7,0
401,401,4,0,0,Eb6,Gb7,Ebmaj7,0
402,402,4,0,0,C7,Ab,F-7,0
403,403,4,0,0,F7,F-7,F7,0
404,404,4,0,0,Bb7,Bb7,Bb7,0
405,405,4,0,0,C7,Eb7,Ebmaj7,0
406,406,4,0,0,F7,F7,F-,0
407,407,4,0,0,Bb7,Bb7,Bbmaj7,0
408,408,4,0,0,Eb6,Eb7,Bb-7,0
409,409,4,0,0,Bb-7,Bb7,F-7,0
410,410,4,0,0,Eb7,Eb7,Eb7,0
411,411,4,0,0,Abmaj7,Ab,Abmaj7,0
412,412,4,0,0,Ab7,F7,G7,0
413,413,4,0,0,Adim7,Db7,G7,0
414,414,4,0,0,Eb6,Eb7,Bb7,0
415,415,4,0,0,C7,C7,F-7,0
416,416,4,0,0,F7,F-7,F7,0
417,417,4,0,0,Bb7,Bb7,Bb-7,0
418,418,4,0,0,Eb6,Eb7,Bb-7,0
419,419,4,0,0,F7,Bb7,F-7,0
420,420,4,0,0,Bb7,Bb7,Bb-7,0
421,421,4,0,0,Eb6,Eb7,Eb7,0
422,422,4,0,0,Bb-7,Ab,F-7,0
423,423,4,0,0,Eb7,Eb7,Eb7,0
424,424,4,0,0,Abmaj7,Ab,Ab,0
425,425,4,0,0,Ab6,F7,Ab-7,0
426,426,4,0,0,Db7,Bb7,F7,0
427,427,4,0,0,Eb6,Gb7,F-,0
428,428,4,0,0,C7,Ab,F-7,0
429,429,4,0,0,Eb7,F-7,F7,0
430,430,4,0,0,Bb7,C7,C7,0
431,431,4,0,0,C7,Eb7,Eb7,0
432,432,4,0,0,F7,F7,F-7,0
433,433,4,0,0,Bb7,Bb7,Bb-7,0
434,434,4,0,0,Db6,Eb7,Eb7,0
435,435,4,0,0,Bb-7,Bb7,G-7,0
436,436,4,0,0,Eb7,Eb7,Eb7,0
437,437,4,0,0,Abmaj7,Ab,Abmaj7,0
438,438,4,0,0,Ab7,F7,Db7,0
439,439,4,0,0,Adim7,Db7,Db7,0
440,440,4,0,0,Eb6,Eb7,Eb7,0
441,441,4,0,0,C7,C7,Bb-7,0
442,442,4,0,0,F7,F-7,F7,0
443,443,4,0,0,Bb7,Bb7,Bb7,0
444,444,4,0,0,Eb6,Eb7,Eb7,0
445,445,4,0,0,F7,Bb7,Db7,0
446,446,4,0,0,Bb7,Bb7,Bb7,0
447,447,4,0,0,Eb6,Eb7,Eb7,0
448,448,4,0,0,Bb-7,Ab,Db7,0
449,449,4,0,0,Eb7,Eb7,Eb7,0
450,450,4,0,0,Abmaj7,Ab,Ab,0
451,451,4,0,0,Ab6,F7,Db7,0
452,452,4,0,0,Db7,Bb7,Bb7,0
453,453,4,0,0,Eb6,Gb7,Bb7,0
454,454,4,0,0,C7,Ab,Ab7,0
455,455,4,0,0,F7,F-7,F7,0
456,456,4,0,0,Bb7,Bb7,Bb7,0
457,457,4,0,0,C7,Eb7,Bb-7,0
458,458,4,0,0,F7,F7,F7,0
459,459,4,0,0,Bb7,Bb7,Bb7,0
460,460,4,0,0,Eb6,Eb7,Eb7,0
461,461,4,0,0,Bb-7,Bb7,Db7,0
462,462,4,0,0,Eb7,Eb7,Eb7,0
463,463,4,0,0,Abmaj7,Ab,Ab,0
464,464,4,0,0,Ab7,F7,Db7,0
465,465,4,0,0,Adim7,Db7,Db7,0
466,466,4,0,0,Eb6,Eb7,Eb7,0
467,467,4,0,0,C7,C7,Db7,0
468,468,4,0,0,F7,F-7,F7,0
469,469,4,0,0,Bb7,Bb7,Bb7,0
470,470,4,0,0,Eb6,Eb7,Eb7,0
471,471,5,0,0,Ab6,Bb7,Db7,0
472,472,5,0,0,Ab-6,Db7,Db7,0
473,473,5,0,0,Ab-6,Ab,Ab,0
474,474,5,0,0,Db7,Ab,Ab,0
475,475,5,0,0,Eb,Ab,Gb7,0
476,476,5,0,0,F-7,Ab,Db7,0
477,477,5,0,0,G-7,Bb7,Bb7,0
478,478,5,0,0,C7,C7,C7,0
479,479,5,0,0,F-7,F-7,F-7,0
480,480,5,0,0,Edim7,Bb-7,Bb-7,0
481,481,5,0,0,F-7,Eb-7,F-7,0
482,482,5,0,0,Bb7,Bb7,Bb-7,0
483,483,5,0,0,Bbdim,Eb-7,Ebmaj7,0
484,484,5,0,0,F-7,Eb7,Bb-7,0
485,485,5,0,0,Bb7,Bb-7,Bb-7,0
486,486,5,0,0,Ebmaj7,Eb-7,Ebmaj7,0
487,487,5,0,0,G-7,Eb-7,Ab7,0
488,488,5,0,0,C-7,C7,C7,0
489,489,5,0,0,F7,F-7,F7,0
490,490,5,0,0,C-7,Bb-7,Bb-7,0
491,491,5,0,0,F7,F-7,F7,0
492,492,5,0,0,Bb7,Bb-7,Bb-7,0
493,493,5,0,0,Bbsus47,Bb-7,Ebmaj7,0
494,494,5,0,0,Bbdim7,Eb7,Bb-7,0
495,495,5,0,0,Bb7,Eb7,Bb-7,0
496,496,5,0,0,Eb7#5,Eb-7,Ebmaj7,0
497,497,5,0,0,Ab6,Ab7,Cm7b5,0
498,498,5,0,0,Ab6,Db7,Db7,0
499,499,5,0,0,Ab-6,Db7,G-7,0
500,500,5,0,0,Ab-6,Db7,Bb-7,0
501,501,5,0,0,Db7,Db7,Bb-7,0
502,502,5,0,0,Eb,C7,Bb-7,0
503,503,5,0,0,G-7,C7,F-7,0
504,504,5,0,0,C7,C7,C7,0
505,505,5,0,0,F-7,F-7,F-7,0
506,506,5,0,0,Edim,Bb7,Bb7,0
507,507,5,0,0,F-7,F-7,F-7,0
508,508,5,0,0,Ab-7,Bb7,Bb-7,0
509,509,5,0,0,Db7,Db7,Db7,0
510,510,5,0,0,Ebmaj7,Bb-7,Eb7,0
511,511,5,0,0,C-7,Eb-7,A-7,0
512,512,5,0,0,G-7,F-7,F7,0
513,513,5,0,0,C7,C7,C7,0
514,514,5,0,0,F-7,F-7,F-7,0
515,515,5,0,0,Bb7,Bb7,Bb7,0
516,516,5,0,0,Eb6,Eb-7,Ebmaj7,0
517,517,5,0,0,Bb-7,F-7,Db7,0
518,518,5,0,0,Eb7,Eb7,Eb7,0
519,519,5,0,0,Ab6,Ab7,Abmaj7,0
520,520,5,0,0,Ab6,Db7,G-7,0
521,521,5,0,0,Ab-6,Db7,Db7,0
522,522,5,0,0,Ab-6,Db7,Db7,0
523,523,5,0,0,Db7,Db7,Bb-7,0
524,524,5,0,0,Eb,C7,C-7,0
525,525,5,0,0,G-7,C7,F-7,0
526,526,5,0,0,C7,C7,C7,0
527,527,5,0,0,F-7,F-7,F-7,0
528,528,5,0,0,Edim7,Bb7,Bb-7,0
529,529,5,0,0,F-7,Eb-7,F-7,0
530,530,5,0,0,Bb7,Bb7,Db7,0
531,531,5,0,0,Bbdim,Eb-7,Ebmaj7,0
532,532,5,0,0,F-7,Eb-7,A-7,0
533,533,5,0,0,Bb7,Bb7,Bb-7,0
534,534,5,0,0,Eb,Eb-7,Ebmaj7,0
535,535,5,0,0,C-7,Ab7,D7,0
536,536,5,0,0,G-7,F-7,Bb-7,0
537,537,5,0,0,F7,C7,C7,0
538,538,5,0,0,C-7,F-7,Bb-7,0
539,539,5,0,0,F7,F-7,F7,0
540,540,5,0,0,Bb7,F-7,Bb-7,0
541,541,5,0,0,Bbsus47,Bb-7,Ebmaj7,0
542,542,5,0,0,Bbdim7,Eb7,G-7,0
543,543,5,0,0,Bb7,Eb-7,Bb-7,0
544,544,5,0,0,Ab6,Eb-7,Ebmaj7,0
545,545,5,0,0,Ab6,Db7,Db7,0
546,546,5,0,0,Ab-6,Db7,Db7,0
547,547,5,0,0,Ab-6,Db7,Bb-7,0
548,548,5,0,0,Db7,Db7,Bb-7,0
549,549,5,0,0,Eb6,C7,Eb7,0
550,550,5,0,0,G-7,F-7,C-7,0
551,551,5,0,0,C7,C7,C7,0
552,552,5,0,0,F-7,F-7,F-7,0
553,553,5,0,0,F-7,Bb7,Bb-7,0
