,melid,bar,beat,target,prediction_no_melody,prediction_with_melody,notes,fold
35,1,25,1,Bb,Bb6,Bb6,,6
36,1,25,3,G7,G7,G7,"61,65",6
37,1,26,1,C-7,C-7,C-7,"70,65,60",6
38,1,26,3,F7,F7,F7,"63,70",6
39,1,27,1,Bb,Bb6,Bb6,,6
40,1,27,3,G-7,G7,G7,,6
41,1,28,1,C-7,C-7,C-7,"63,70",6
42,1,28,3,F7,F7,F7,"64,70",6
43,1,29,1,F-7,F-7,F-7,,6
44,1,29,3,Bb7,Bb7,Bb7,,6
45,1,30,1,Eb7,Eb7,Eb7,"68,67,68,67",6
46,1,30,3,Ab7,Ab7,Ab7,"65,63,60,61",6
47,1,31,1,C-7,D-7,C-7,"62,58,56,58",6
48,1,31,3,F7,F7,F7,,6
49,1,32,1,Bb6,Bb6,Bb6,,6
50,1,33,1,Bb6,G7,G7,"70,74,75",6
51,1,33,3,G7,G7,G7,"77,79",6
52,1,34,1,C-7,C-7,C-7,,6
53,1,34,3,F7,F7,F7,,6
54,1,35,1,Bb,Bb6,Bb6,73,6
55,1,35,3,G-7,G7,G7,"74,77,80,79",6
56,1,36,1,C-7,C-7,C-7,"77,75,72,73",6
57,1,36,3,F7,F7,F7,"74,70,65,64",6
58,1,37,1,F-7,F-7,Bb6,"62,63,67,66,64",6
59,1,37,3,Bb7,Bb7,Bb7,"65,61,65",6
60,1,38,1,Eb7,Eb7,Eb7,"70,67,63",6
61,1,38,3,Ab7,Ab7,Ab7,"60,61,68",6
62,1,39,1,D-7,D-7,D-7,,6
63,1,39,3,G7,G7,G7,"65,64",6
64,1,40,1,C-7,C-7,C-7,"67,63,60",6
65,1,40,3,F7,F7,F7,"65,62,63,65",6
66,1,41,1,Bb6,Bb6,Bb6,"61,62,63,61",6
67,1,41,3,G7,G7,G7,"62,58,53,51",6
68,1,42,1,C-7,C-7,C-7,58,6
69,1,42,3,F7,F7,F7,"51,52,53",6
70,1,43,1,Bb,Bb6,Bb6,,6
71,1,43,3,G-7,G7,G7,,6
72,1,44,1,C-7,C-7,C-7,"53,51,55,58",6
73,1,44,3,F7,F7,F7,"61,57,60",6
74,1,45,1,F-7,F-7,Bb6,"57,58,62,58",6
75,1,45,3,Bb7,Bb7,Bb7,"65,62,58,63",6
76,1,46,1,Eb7,Eb7,Eb7,,6
77,1,46,3,Ab7,Ab7,Ab7,"61,58,60",6
78,1,47,1,C-7,D-7,C-7,"58,53,57,58",6
79,1,47,3,F7,F7,F7,,6
80,1,48,1,Bb6,Bb6,Bb6,64,6
81,1,49,1,D7,G7,G7,"67,66,69,74",6
82,1,51,1,G7,G7,G7,"71,74,79,78,77,74,75,74,72,71",6
83,1,53,1,C7,C7,C7,"74,81,79,82",6
84,1,55,1,F7,F7,F7,"79,81,79,75,77,82,84",6
85,1,57,1,Bb,Bb6,Bb6,,6
86,1,57,3,G7,G7,G7,84,6
87,1,58,1,C-7,C-7,C-7,86,6
88,1,58,3,F7,F7,F7,,6
89,1,59,1,Bb,Bb6,Bb6,,6
90,1,59,3,G-7,G7,G7,,6
91,1,60,1,C-7,C-7,C-7,"82,80,82,80",6
92,1,60,3,F7,F7,F7,"77,79,77,76,79",6
93,1,61,1,F-7,F-7,Bb6,"77,76,74,70,68",6
94,1,61,3,Bb7,Bb7,Bb7,"72,70",6
95,1,62,1,Eb7,Eb7,Eb7,66,6
96,1,62,3,Ab7,Ab7,Ab7,,6
97,1,63,1,C-7,D-7,C-7,"66,70,72,73",6
98,1,63,3,F7,F7,F7,"74,75,73",6
99,1,64,1,Bb6,Bb6,Bb6,"74,70,65,64,67,66",6
100,1,65,1,Bb6,G7,G7,"65,70",6
101,1,65,3,G7,G7,G7,65,6
102,1,66,1,C-7,C-7,C-7,72,6
103,1,66,3,F7,F7,F7,69,6
104,1,67,1,Bb,Bb6,Bb6,,6
105,1,67,3,G-7,G7,G7,"74,72,71",6
106,1,68,1,C-7,C-7,C-7,72,6
107,1,68,3,F7,F7,F7,"74,72,69,72,75",6
108,1,69,1,F-7,F-7,Bb6,"79,78,76",6
109,1,69,3,Bb7,Bb7,Bb7,"77,74,70,74,77",6
110,1,70,1,Eb7,Eb7,Eb7,"74,75,72",6
111,1,70,3,Ab7,Ab7,Ab7,"70,73,72",6
112,1,71,1,D-7,D-7,C-7,"70,65,64,62",6
113,1,71,3,G7,G7,G7,"63,61,62,65",6
114,1,72,1,C-7,C-7,C-7,"70,65",6
115,1,72,3,F7,F7,F7,"72,65",6
116,1,73,1,Bb6,Bb6,Bb6,,6
117,1,73,3,G7,G7,G7,,6
118,1,74,1,C-7,C-7,C-7,"77,82",6
119,1,74,3,F7,F7,F7,86,6
120,1,75,1,Bb,Bb6,Bb6,,6
121,1,75,3,G-7,G7,G7,"82,77",6
122,1,76,1,C-7,C-7,C-7,80,6
123,1,76,3,F7,F7,F7,"79,78,77",6
124,1,77,1,F-7,F-7,Bb6,,6
125,1,77,3,Bb7,Bb7,Bb7,"75,77,73,74",6
126,1,78,1,Eb7,Eb7,Eb7,"70,65,64,62",6
127,1,78,3,Ab7,Ab7,Ab7,"63,61,62,65,70",6
128,1,79,1,C-7,D-7,D-7,"72,67,70",6
129,1,79,3,F7,F7,F7,,6
130,1,80,1,Bb6,Bb6,Bb6,"74,78",6
131,1,81,1,D7,G7,G7,"79,80,81,80,79,78,74,79,83",6
132,1,83,1,G7,G7,G7,"89,85,86,83,79,81,82,81,79,82",6
133,1,85,1,C7,C7,C7,"78,80,81,80,79,78,79",6
134,1,87,1,F7,F7,F7,"75,77,75,72,79,82,79,80,81,77,79,75",6
135,1,89,1,Bb,Bb6,Bb6,"72,77,75",6
136,1,89,3,G7,G7,G7,"74,70,65,64",6
137,1,90,1,C-7,C-7,C-7,"62,63,67,66,64",6
138,1,90,3,F7,F7,F7,"65,62,63,61",6
139,1,91,1,Bb,Bb6,Bb6,62,6
140,1,91,3,G-7,G7,G7,70,6
141,1,92,1,C-7,C-7,C-7,63,6
142,1,92,3,F7,F7,F7,"65,70",6
143,1,93,1,F-7,F-7,Bb6,74,6
144,1,93,3,Bb7,Bb7,Bb7,,6
145,1,94,1,Eb7,Eb7,Eb7,"75,72",6
146,1,94,3,Ab7,Ab7,Ab7,"73,74,70",6
147,1,95,1,C-7,D-7,D-7,70,6
148,1,95,3,F7,F7,F7,,6
149,1,96,1,Bb6,Bb6,Bb6,"77,79",6
150,1,97,1,Bb6,G7,G7,"82,84,86",6
151,1,97,3,G7,G7,D-7,,6
152,1,98,1,C-7,C-7,C-7,91,6
153,1,98,3,F7,F7,F7,,6
154,1,99,1,Bb,Bb6,Bb6,89,6
155,1,99,3,G-7,G7,G7,87,6
156,1,100,1,C-7,C-7,C-7,85,6
157,1,100,3,F7,F7,F7,,6
158,1,101,1,F-7,F-7,F-7,,6
159,1,101,3,Bb7,Bb7,Bb7,"82,80,80",6
160,1,102,1,Eb7,Eb7,Eb7,"79,78",6
161,1,102,3,Ab7,Ab7,Ab7,"77,76,75,79",6
162,1,103,1,D-7,D-7,C-7,"74,72,77,75",6
163,1,103,3,G7,G7,G7,"74,70,65,64",6
164,1,104,1,C-7,C-7,C-7,"62,63,67,66",6
165,1,104,3,F7,F7,F7,"65,63",6
166,1,105,1,Bb6,Bb6,Bb6,"62,70",6
167,1,105,3,G7,G7,G7,,6
168,1,106,1,C-7,C-7,C-7,"70,72,70",6
169,1,106,3,F7,F7,F7,"68,72",6
170,1,107,1,Bb,Bb6,Bb6,70,6
171,1,107,3,G-7,G7,G7,74,6
172,1,108,1,C-7,C-7,C-7,"70,75",6
173,1,108,3,F7,F7,F7,79,6
174,1,109,1,F-7,F-7,Bb6,74,6
175,1,109,3,Bb7,Bb7,Bb7,"82,75",6
176,1,110,1,Eb7,Eb7,Eb7,"82,75,76",6
177,1,110,3,Ab7,Ab7,Ab7,82,6
178,1,111,1,C-7,D-7,C-7,80,6
179,1,111,3,F7,F7,F7,"81,80,77,75",6
180,1,112,1,Bb6,Bb6,Bb6,"74,70,70",6
181,1,113,1,D7,G7,G7,"76,79,76,78,79,81,90,61,59,57",6
182,1,115,1,G7,G7,G7,"55,57,57,60,62,58,59,62,67",6
183,1,117,1,C7,C7,C7,"64,67,70,72,74,72,74,72,70,67",6
184,1,119,1,F7,F7,F7,"63,70,77,74,75,77,80,78,77,75",6
185,1,121,1,Bb,Bb6,Bb6,"74,70",6
186,1,121,3,G7,G7,G7,"74,75",6
187,1,122,1,C-7,C-7,C-7,70,6
188,1,122,3,F7,F7,F7,76,6
189,1,123,1,Bb,Bb6,Bb6,"77,76",6
190,1,123,3,G-7,G7,G7,"77,76,75",6
191,1,124,1,C-7,C-7,C-7,"77,80",6
192,1,124,3,F7,F7,F7,"79,80",6
193,1,125,1,F-7,F-7,Bb6,,6
194,1,125,3,Bb7,Bb7,Bb7,"86,79,77,75,77",6
195,1,126,1,Eb7,Eb7,Eb7,"75,72,70",6
196,1,126,3,Ab7,Ab7,Ab7,68,6
197,1,127,1,C-7,D-7,C-7,"65,64",6
198,1,127,3,F7,F7,F7,"63,67,60",6
199,1,128,1,Bb6,Bb6,Bb6,"65,62,63,65,68,66,65,63",6
200,1,129,1,Bb6,G7,D-7,"62,70",6
201,2,2,1,Ab7,Bb7,Ab7,"63,66,68",1
202,2,3,1,Eb7,Eb7,Eb7,"63,67,70,67,70",1
203,2,5,1,Ab7,Ab7,Ab7,"70,75,70,70,73,75,73",1
204,2,7,1,Eb7,Eb7,Eb7,"77,70,70,75,70,73",1
205,2,9,1,F-7,Ab7,C7,"70,75,73,70,68",1
206,2,10,1,Bb7,Bb7,Bb7,"70,68",1
207,2,11,1,Eb7,Eb7,Eb7,"65,67,63,61,63",1
208,2,12,1,Bb7,Bb7,Ab7,,1
209,2,13,1,Eb7,Eb7,Eb7,"63,63,63,67,70,72,75",1
210,2,14,1,Ab7,Bb7,Ab7,"73,72,70,72",1
211,2,15,1,Eb7,Eb7,Eb7,"63,63,63,67,65,61",1
212,2,17,1,Ab7,Ab7,C7,"63,63,68,70,72,75,78,77,75,73",1
213,2,19,1,Eb7,Eb7,Eb7,"72,71,70",1
214,2,20,1,C7,Ab7,C7,"63,65,67,70",1
215,2,21,1,F-7,F-7,F-7,72,1
216,2,22,1,Bb7,Bb7,Bb7,"66,65,63,60,63,66,65,63",1
217,2,23,1,Eb7,Eb7,Eb7,65,1
218,2,24,1,Bb7,Eb7,Eb7,72,1
219,2,25,1,Eb7,Eb7,Eb7,"73,72,73,72,70",1
220,2,26,1,Ab7,Bb7,Ab7,"72,70,73,70,72",1
221,2,27,1,Eb7,Eb7,Eb7,"73,72,70,72,73,72,70,72,66,65,63,60",1
222,2,29,1,Ab7,Ab7,Ab7,"65,66,65,63,65,63,65,63,61,60",1
223,2,31,1,Eb7,Eb7,Eb7,"58,56,55",1
224,2,32,1,C7,Ab7,C7,"53,55,62,65,64,68,70,73,72,70,68",1
225,2,33,1,F-7,F-7,F-7,"63,67,68",1
226,2,34,1,Bb7,Bb7,Bb7,"64,65,62,58",1
227,2,35,1,Eb7,Eb7,Eb7,"62,65,67,64,62",1
228,2,36,1,Bb7,Eb7,Eb7,"63,60,56,54,61,59,57",1
229,2,37,1,Eb7,Eb7,Eb7,"58,51",1
230,2,38,1,Ab7,Bb7,Ab7,"57,55,51",1
231,2,39,1,Eb7,Eb7,Eb7,"49,56,56,55,53,56,59,63,70,67,65",1
232,2,41,1,Ab7,Ab7,Ab7,"65,63,63,66,68,67,69,70,71,72,73,72,71,70",1
233,2,43,1,Eb7,Eb7,Eb7,,1
234,2,44,1,C7,Ab7,C7,"67,75,73,74,73,72,69,72",1
235,2,45,1,F-7,F-7,F-7,"70,67,63,60,68,70,67,65",1
236,2,46,1,Bb7,Bb7,Bb7,"63,62,65,62,63,65,67",1
237,2,47,1,Eb7,Eb7,Eb7,"63,58,61,63",1
238,2,48,1,Bb7,Eb7,Ab7,,1
239,2,49,1,Eb7,Eb7,Eb7,"70,73,75,73",1
240,2,50,1,Ab7,Bb7,Eb7,"75,78,77",1
241,2,51,1,Eb7,Eb7,Eb7,"75,73,75,73,70,69,67,68,65,66,63,60",1
242,2,53,1,Ab7,Ab7,Ab7,"65,63,65,66,63",1
243,2,55,1,Eb7,Eb7,Eb7,"59,60,62,63,65,67,68,69,70,66,67,74",1
244,2,56,1,C7,Ab7,C7,"77,76",1
245,2,57,1,F-7,F-7,F-7,"75,72,68,65,74,76,74,70,72",1
246,2,58,1,Bb7,Bb7,Bb7,"74,72,68,65,63,62,65,70,68",1
247,2,59,1,Eb7,Eb7,Eb7,"67,63,61,63",1
248,2,60,1,Bb7,Eb7,Ab7,,1
249,2,61,1,Eb7,Eb7,Eb7,"67,68,70,66,67,70,75,73",1
250,2,62,1,Ab7,Bb7,Eb7,"70,72,70,67,75",1
251,2,63,1,Eb7,Eb7,Eb7,"76,75,70,73,74,73,70,68,72,70,68,66,68,66,68,69,68,63,61,63",1
252,2,65,1,Ab7,Ab7,Ab7,,1
253,2,67,1,Eb7,Eb7,Eb7,"66,67,74,77,76,75,74,72",1
254,2,68,1,C7,Ab7,C7,"70,68,67,65,64,67,70,73",1
255,2,69,1,F-7,F-7,F-7,"72,68,72,68,65,70,68",1
256,2,70,1,Bb7,Bb7,Bb7,"67,68,67,68",1
257,2,71,1,Eb7,Eb7,Eb7,"67,63,63",1
258,2,72,1,Bb7,Eb7,Eb7,"58,60",1
259,2,73,1,Eb7,Eb7,Eb7,"61,58,64,65,67,70,72,70,75,73,72",1
260,2,74,1,Ab7,Bb7,Eb7,"75,66,78,75",1
261,2,75,1,Eb7,Eb7,Eb7,"73,72,73,72,71,70,68,63,60,66,63,65,63",1
262,2,77,1,Ab7,Ab7,Ab7,"66,63,65,63,65",1
263,2,79,1,Eb7,Eb7,Eb7,"66,65,63,65",1
264,2,80,1,C7,Ab7,C7,"61,58,60,58",1
265,2,81,1,F-7,F-7,F-7,"60,61,58,60,58,56",1
266,2,82,1,Bb7,Bb7,Bb7,58,1
267,2,83,1,Eb7,Eb7,Eb7,"54,55,58,51",1
268,2,84,1,Bb7,Eb7,Eb7,,1
269,2,85,1,Eb7,Eb7,Eb7,"63,67,70,75,73,72,71",1
270,2,86,1,Ab7,Bb7,Eb7,"70,68,63,60,66,63,66,67",1
271,2,87,1,Eb7,Eb7,Eb7,"63,65,60,63,63,68,71,72",1
272,2,89,1,Ab7,Ab7,C7,"68,68,73,68,68,74,68,74,75,78,77",1
273,2,91,1,Eb7,Eb7,Eb7,"75,73,72,71,69",1
274,2,92,1,C7,Ab7,C7,"70,68,67,68,67,65,64",1
275,2,93,1,F-7,F-7,F-7,"67,68,67,65,65",1
276,2,94,1,Bb7,Bb7,Bb7,"70,72,70,68,73,76,73,70,72",1
277,2,95,1,Eb7,Eb7,Eb7,"73,72,70,63",1
278,2,96,1,Bb7,Eb7,Ab7,"73,72,70,72",1
279,2,97,1,Eb7,Eb7,Eb7,"73,72,70,72",1
280,2,98,1,Ab7,Bb7,Eb7,"73,72,70,72,73,72",1
281,2,99,1,Eb7,Eb7,Eb7,"70,73,73,72,70,72,70,73,72,70,72",1
282,2,101,1,Ab7,Ab7,C7,"75,79,79",1
283,2,103,1,Eb7,Eb7,Eb7,"75,76,75,74,77",1
284,2,104,1,C7,Ab7,C7,"75,70,67,70,74,72,71,70,70,69",1
285,2,105,1,F-7,F-7,F-7,"68,72,67,65,70,67,68,70",1
286,2,106,1,Bb7,Bb7,Bb7,"73,71,73,71,70,66,62,58",1
287,2,107,1,Eb7,Eb7,Eb7,"63,58,61",1
288,2,108,1,Bb7,Eb7,Ab7,,1
289,2,109,1,Eb7,Eb7,Eb7,"58,61,63,58,61,63",1
290,2,110,1,Ab7,Bb7,Eb7,"58,61,60,58,60,63,61",1
291,2,111,1,Eb7,Eb7,Eb7,"58,61,63,60,58,60,63,58,60,61,63,61",1
292,2,113,1,Ab7,Ab7,C7,"63,66,68,66,68,66,63,61,58,60,55,52,53,56,60,63,70,68,66",1
293,2,115,1,Eb7,Eb7,Eb7,"58,61,63,61,63",1
294,2,116,1,C7,Ab7,C7,"58,60,64,65,67,72,75,73",1
295,2,117,1,F-7,F-7,F-7,"63,66,63",1
296,2,118,1,Bb7,Bb7,Bb7,"61,63",1
297,2,119,1,Eb7,Eb7,Eb7,"58,60,63,61,60,63,66,67,70,75,72,73",1
298,2,120,1,Bb7,Eb7,Eb7,"63,60,62,63,58,60,62,63,66,67,70,67,72,74,73",1
299,2,121,1,Eb7,Eb7,Eb7,"58,60,61,60,58,60",1
300,2,122,1,Ab7,Bb7,Eb7,"58,64,65,68,71,70,72,77,72",1
301,2,123,1,Eb7,Eb7,Eb7,"57,60,57,58,55,53,52,53,52,53,55,61,60,71,71,63,62,65,72,73,65,72,74,78,77",1
302,2,125,1,Ab7,Ab7,Ab7,"75,86,86,87,86",1
303,2,127,1,Eb7,Eb7,Eb7,"81,82",1
304,2,128,1,C7,Ab7,Eb7,"79,80,66",1
305,2,129,1,F-7,F-7,F-7,"79,75,73,72,71",1
306,2,130,1,Bb7,Bb7,Bb7,"70,68,63,60,65,67,70,63",1
307,2,131,1,Eb7,Eb7,Eb7,"60,61,63",1
308,2,132,1,Bb7,Eb7,Ab7,"58,61,63,66,63",1
309,2,133,1,Eb7,Eb7,Eb7,,1
310,3,1,1,Fmaj7,F7,F7,"57,60,57,60,64,67,64,60,64,67,64,65,69,74,72",9
311,3,3,1,G7,Bb7,Em7b5,"67,69,71,75,71,74,71,74,67",9
312,3,5,1,G-7,C7,C7,"70,69,67,65,64",9
313,3,6,1,C7,C7,C7,"67,65,64,62,60,60,62,55,60",9
314,3,7,1,Am7b5,Fmaj7,Fmaj7,"57,60",9
315,3,8,1,D7,D7,D7,"63,62,60,58,56,57,60,57,58,55,57",9
316,3,9,1,G-7,G-7,G-7,"69,72,70",9
317,3,10,1,A7,C7,C7,"69,67,70,69,63,64",9
318,3,11,1,D7,D7,D7,"66,69,66,62,64,61,62",9
319,3,12,1,D7,G7,Bm7b5,"64,66,69,64",9
320,3,13,1,G7,G7,G-7,"68,67,65,62,60,59,65,67,68,65,60,67,65,67,65",9
321,3,15,1,Gbmaj7,C7,C7,"67,72,70,72,75,72",9
322,3,17,1,Fmaj7,G7,Fmaj7,"69,64,67,65,60,57,60,64,67,65",9
323,3,19,1,G7,F-7,Em7b5,"62,60,62,64,61,62,64,65,67,69,76,75,74,73,76,74,69",9
324,3,21,1,G-7,Cmaj7,G-7,"74,77,74",9
325,3,22,1,C7,C7,C7,"67,70,67,65,64,67,75,73",9
326,3,23,1,Am7b5,Fmaj7,Fmaj7,"75,74,73,72,70",9
327,3,24,1,D7,D7,D7,"69,70,69,67,69,67,66,63,62,60",9
328,3,25,1,G-7,G7,G-7,"58,72,70,69,67",9
329,3,26,1,Bb-,C7,C7,"70,69,67,65",9
330,3,27,1,A-7,Eb7,G-7,"67,68,67,65,67",9
331,3,28,1,Bm7b5,D7,D7,,9
332,3,28,3,E7,E7,E7,"64,64",9
333,3,29,1,Amaj7,A-7,E7,"66,64",9
334,3,30,1,Bbdim7,D7,Fmaj7,"69,58,61,64",9
335,3,31,1,B-7,A-7,G-7,"62,66,69,71",9
336,3,32,1,E7,E7,E7,"68,64,65,64,62,64",9
337,3,33,1,Amaj7,A-7,A-7,"64,66,68,69",9
338,3,34,1,F#-7,D7,Fmaj7,"71,69,61,62,64",9
339,3,35,1,B-7,Db7,B7,"66,64",9
340,3,36,1,E7,E7,E7,"64,68,72,76,73,76",9
341,3,37,1,Cmaj7,A-7,A-7,"72,75,76,77,76,74",9
342,3,38,1,C#dim7,Fmaj7,A-7,"72,67,69,67,64,62,61,57",9
343,3,39,1,D-7,C-7,E7,"64,61,62,64,65,67,69,65",9
344,3,40,1,G7,G7,G7,"62,67,68,67,65,67,68,67,65,70",9
345,3,41,1,G-7,Cmaj7,G-7,"67,66,67,69,66,67,69,70,72,74",9
346,3,42,1,Am7b5,C7,C7,,9
347,3,42,3,D7,D7,D7,,9
348,3,43,1,G-7,G-7,G-7,"77,74,70,67,76,72,67,65,74,70",9
349,3,44,1,C7,C7,C7,"72,71,70,67,65,63,64,67,70,75,73,70",9
350,3,45,1,Fmaj7,Fmaj7,Fmaj7,"72,60,62,64,65,64,62,61,62",9
351,3,47,1,G7,Em7b5,Fmaj7,"65,61,64,62,65",9
352,3,49,1,G-7,G-7,G-7,"62,64,65,67",9
353,3,50,1,C7,C7,C7,"65,64",9
354,3,51,1,Am7b5,Fmaj7,Fmaj7,"74,73,72",9
355,3,52,1,D7,D7,D7,"70,69,71,72,71,70,69,67,66,62",9
356,3,53,1,G-7,G-7,G-7,"67,70,74,77",9
357,3,54,1,A7,C7,C7,"73,72,70,75,73",9
358,3,55,1,D7,D7,D7,"72,69,64",9
359,3,56,1,D7,G-7,G-7,"71,74,73,72,71",9
360,3,57,1,G7,G7,G-7,"67,67,69,71,72,74,73,72,71,67,69,67",9
361,3,59,1,Gbmaj7,G-7,G-7,"70,72,73,72,70,75,73,75,76,75,73,75",9
362,3,61,1,G-7,G-7,Fmaj7,"67,69,71,74,73,72,71,67",9
363,3,62,1,Bb-,C7,C7,"72,76,70,74,72,68,64,60,58",9
364,3,63,1,A-7,G-7,G-7,"60,57,60,65,67,69,65",9
365,3,64,1,Bm7b5,D7,D7,"60,60",9
366,3,64,3,E7,E7,E7,"63,61,63,60",9
367,4,1,1,F7,Bb7,C7,"63,60,67,65,63,60",10
368,4,2,1,Bb7,Bb7,Bbmaj7,"56,60,63,67,66,62,58,57",10
369,4,3,1,Eb6,F7,Ebmaj7,"56,60,59,57,58,51,51",10
370,4,5,1,Bb-7,Bb7,C7,"55,56,55,55,56,54",10
371,4,6,1,Eb7,Eb7,Eb7,"54,55,61,58,61,59",10
372,4,7,1,Abmaj7,Ab,D7,"60,61,62,63,65,60,61,63,65,60,61,63,65,60,61",10
373,4,9,1,Ab6,Bb7,G7,"63,65,63,65",10
374,4,10,1,Db7,Bb7,Db7,,10
375,4,11,1,Eb6,Gb7,C7,"66,65,63,65",10
376,4,12,1,C7,Bb-7,F-7,"62,58,60,61,63",10
377,4,13,1,F7,F-7,F,"59,60,55,58,56,57,60,57,60,63",10
378,4,15,1,Bb7,Bb7,Bb7,"60,53,53",10
379,4,16,1,C7,Eb7,Bb-7,"50,51,55",10
380,4,17,1,F7,F7,F7,"60,57,60",10
381,4,18,1,Bb7,Bb7,Bbmaj7,"56,60,63,66,67,68",10
382,4,19,1,Eb6,Eb7,Bb-7,"66,70,75,74,77,75,70,68,72",10
383,4,21,1,Bb-7,Bb7,F-7,"70,67,63,61,61",10
384,4,22,1,Eb7,Eb7,Eb7,"65,68,67,63,65,60",10
385,4,23,1,Abmaj7,Ab,Abmaj7,"63,60,65,63",10
386,4,25,1,Ab7,F7,G7,"56,60,63,65,63,66",10
387,4,26,1,Adim7,Db7,Db7,"63,63",10
388,4,27,1,Eb6,Eb7,Bb-7,"63,67,72,75,72",10
389,4,28,1,C7,C7,F-7,"66,63,60,63",10
390,4,29,1,F7,F-7,F7,"67,72,67,65,63,60,63,66",10
391,4,30,1,Bb7,Bb7,Bb7,"67,66,67,63,58,55,56",10
392,4,31,1,Eb6,Eb7,Bb-7,"58,63,67,72,67,72,75,72",10
393,4,33,1,F7,Bb7,F-7,"75,72,67,63",10
394,4,34,1,Bb7,Bb7,Bb-,"67,70,67,65",10
395,4,35,1,Eb6,Eb7,Eb7,"63,65,63,62,65,63,58,58,58",10
396,4,37,1,Bb-7,Ab,F-7,"70,72,70,68",10
397,4,38,1,Eb7,Eb7,Eb7,"67,70,71",10
398,4,39,1,Abmaj7,Ab,Abmaj7,"72,73,74,75,77,75,74,77,75,72,75,77,75,72,75",10
399,4,41,1,Ab6,F7,G7,"77,75,75",10
400,4,42,1,Db7,Bb7,F7,"71,82,80",10
401,4,43,1,Eb6,Gb7,Ebmaj7,,10
402,4,44,1,C7,Ab,F-7,"79,84,86",10
403,4,45,1,F7,F-7,F7,"79,85,86,84,79,80,79,75,79",10
404,4,47,1,Bb7,Bb7,Bb7,"77,79,77,72,75,74,70,70",10
405,4,48,1,C7,Eb7,Ebmaj7,74,10
406,4,49,1,F7,F7,F-,"77,75,69",10
407,4,50,1,Bb7,Bb7,Bbmaj7,"72,75,79,75,70",10
408,4,51,1,Eb6,Eb7,Bb-7,"68,66,67,70",10
409,4,53,1,Bb-7,Bb7,F-7,"79,80,81,82,83,84,85,86,87,86,85,84",10
410,4,54,1,Eb7,Eb7,Eb7,"82,79,82",10
411,4,55,1,Abmaj7,Ab,Abmaj7,"80,75,77,73,75,72,73,74",10
412,4,57,1,Ab7,F7,G7,"75,72,77,75",10
413,4,58,1,Adim7,Db7,G7,"71,70",10
414,4,59,1,Eb6,Eb7,Bb7,"66,67,68",10
415,4,60,1,C7,C7,F-7,"66,67,70,74,77,76,74",10
416,4,61,1,F7,F-7,F7,"75,72,69,75,79",10
417,4,62,1,Bb7,Bb7,Bb-7,"78,74,70,69,68,72,71,65",10
418,4,63,1,Eb6,Eb7,Bb-7,"70,70,75,70,75,75,78,79,75,77,75",10
419,4,65,1,F7,Bb7,F-7,,10
420,4,66,1,Bb7,Bb7,Bb-7,87,10
421,4,67,1,Eb6,Eb7,Eb7,"87,85,84,82,84,82,80,78,75,77,75",10
422,4,69,1,Bb-7,Ab,F-7,,10
423,4,70,1,Eb7,Eb7,Eb7,"78,79,78,75,77,79,77,73,75,75,77",10
424,4,71,1,Abmaj7,Ab,Ab,"75,78,79,77,75,77,75,77,75",10
425,4,73,1,Ab6,F7,Ab-7,"78,75,73,75",10
426,4,74,1,Db7,Bb7,F7,"81,80,78,75",10
427,4,75,1,Eb6,Gb7,F-,,10
